,city,country,pop2023,latitude,longitude,airport_available,POP PER,GDP per city in crores
170,JALNA,India,262034,19.841,75.8864,FALSE,0.000184899,502.9994267
171,LAL BAHADUR NAGAR,India,261987,17.3477,78.5576,FALSE,0.000184866,502.9092057
172,DEWAS,India,261218,22.9659,76.0553,FALSE,0.000184323,501.4330364
173,BARANAGAR,India,260072,22.6413,88.3773,FALSE,0.000183515,499.2331793
174,GAJUWAKA,India,258944,17.7,83.2167,FALSE,0.000182719,497.067875
175,SATNA,India,257778,24.5773,80.8272,FALSE,0.000181896,494.829626
176,ETAWAH,India,257448,26.7761,79.0213,FALSE,0.000181663,494.1961593
177,DURG,India,255283,21.1915,81.2762,FALSE,0.000180135,490.0402339
178,NAIHATI,India,253221,22.894,88.4152,FALSE,0.00017868,486.0820269
179,TIRUPATI,India,250821,13.6355,79.4199,TRUE,0.000176987,481.4749964
180,SONIPAT,India,250521,28.9948,77.0194,FALSE,0.000176775,480.8991176
181,AVADI,India,250044,13.1147,80.1098,FALSE,0.000176439,479.9834703
182,TIRUVOTTIYUR,India,248059,13.1582,80.3018,FALSE,0.000175038,476.1730722
183,SAUGOR,India,247333,23.8388,78.7387,FALSE,0.000174526,474.7794455
184,MAU,India,246050,25.9417,83.5611,FALSE,0.00017362,472.3166038
185,BIHAR SHARIF,India,244230,25.2008,85.5239,FALSE,0.000172336,468.822939
186,HAPUR,India,242920,28.7299,77.7807,FALSE,0.000171412,466.3082682
187,BATHINDA,India,242800,30.2075,74.9389,FALSE,0.000171327,466.0779166
188,FARRUKHABAD,India,241152,27.3913,79.5793,FALSE,0.000170164,462.9144224
189,ALAPPUZHA,India,240991,9.49004,76.3264,FALSE,0.00017005,462.6053674
190,ANANTAPUR,India,240442,14.6778,77.6081,FALSE,0.000169663,461.5515092
191,RATLAM,India,236843,23.3303,75.0403,FALSE,0.000167124,454.6428831
192,RAMAGUNDAM,India,235000,18.755,79.474,FALSE,0.000165823,451.1050676
193,SIVAKASI,India,234704,9.44999,77.798,FALSE,0.000165614,450.5368672
194,KARUR,India,234191,10.9577,78.0809,FALSE,0.000165252,449.5521144
195,OOTY,India,233426,11.4134,76.6952,FALSE,0.000164712,448.0836234
196,GANGANAGAR,India,231838,29.9201,73.875,FALSE,0.000163592,445.0353049
197,HOSUR,India,229528,12.7365,77.8326,FALSE,0.000161962,440.6010381
198,BHARATPUR,India,229384,27.2173,77.4901,FALSE,0.00016186,440.3246163
199,KARIMNAGAR,India,228745,18.4391,79.1286,FALSE,0.000161409,439.0979944
